image_id,image_name,coco_supercategs,coco_categs,coco_areas,coco_captions
81474,81474.jpg,"['animal', 'animal', 'animal', 'animal']","['elephant', 'giraffe', 'giraffe', 'giraffe']","[50733.26044999999, 942.5730500000003, 156.49375000000046, 95.32779999999993]","['Large grey elephant walking around an enclosure at a zoo. ', 'An elephant with white tusk talking on top of a cement structure.', 'An elephant walks on a low concrete wall. ', 'A elephant walking the edge of its raised enclosure at a zoo.', 'an elephant with buildings and trees in the background']"
81841,81841.jpg,"['furniture', 'furniture', 'furniture', 'furniture', 'furniture', 'furniture', 'furniture', 'indoor', 'indoor', 'indoor', 'indoor', 'indoor', 'indoor', 'indoor', 'indoor', 'indoor', 'indoor', 'indoor', 'indoor', 'indoor', 'indoor', 'indoor']","['potted plant', 'chair', 'chair', 'dining table', 'chair', 'chair', 'chair', 'vase', 'book', 'book', 'book', 'book', 'book', 'book', 'book', 'book', 'book', 'vase', 'book', 'book', 'book', 'book']","[10473.769900000001, 2939.74125, 1866.8424999999984, 25293.390600000002, 5808.849099999999, 10106.290100000002, 2750.60855, 2058.3477500000004, 188.80580000000072, 301.4721000000008, 262.24800000000107, 261.752800000001, 32.37300000000009, 55.28964999999968, 52.56069999999963, 130.05235000000016, 109.59905000000082, 445.0527999999995, 63.365899999999904, 93.19060000000003, 55.64184999999982, 12991]","['A dining room bathed in red light with a floral arrangement.', 'A dining room decorated with flower vase,lamp shades, mirror.', 'A dining room done in dark colors with blinds on the window', 'A dining room table and other dining room decor.', 'A table and chairs are in a room in front of a window.']"
81961,81961.jpg,"['person', 'sports', 'sports', 'accessory', 'person', 'person', 'accessory', 'accessory']","['person', 'skis', 'skis', 'backpack', 'person', 'person', 'backpack', 'backpack']","[11799.7919, 1270.0926000000022, 41.856300000000154, 3280.3646, 393.7875999999997, 112.45179999999984, 79.96869999999991, 35.91690000000006]","['A group of people on skis on a snow covered slope.', 'a man wearing a hat and carrying a bookbag skiing toward the mountains with others', 'A group of people in ski gear on a mountain slope.', 'a snow skier going  up hill with a backpack', 'A group of skiers in a line skiing cross country.']"
81995,81995.jpg,"['animal', 'person']","['horse', 'person']","[28398.422499999975, 8048.5804499999995]","[""'A man riding on the back of a black horse."", 'a man in a helmet riding a big horse', 'A man in riding gear riding a horse.', 'A person that is riding on a horse in a grass field.', 'A man is riding a horse in a field.']"
82650,82650.jpg,['vehicle'],['train'],[7531.117300000005],"['A large bus drives through a city, across a bridge', 'a train on a train track on a bridge ', 'A train is riding past a building on an overpass.', 'A train on a bridge with a large building in the background.', 'A yellow train traveling over a bridge under a building.']"
82770,82770.jpg,"['vehicle', 'vehicle', 'sports', 'sports', 'vehicle']","['car', 'car', 'surfboard', 'surfboard', 'car']","[82509.14140000001, 4565.635899999999, 2967.8011999999994, 1914.7290499999995, 16373.8005]","['White car parked in a lot with two surfboards on top.', 'A honda civic with surf boards sits at a parking lot', 'The parked car has two surfboards on the roof.', 'A small car with two surfboard on the rack parked.', 'A Honda sits parked with two surfboards on top.']"
82945,82945.jpg,"['sports', 'person']","['skis', 'person']","[1654.0886500000013, 11069.01345]","['Man in skies going down a snowy slope.', 'a person standing on a hiil by themselves ', 'a man is on a pair of skis in the snow', 'a man on skis rides through the snow ', 'a man that is skiing down a hill on skiies']"
83393,83393.jpg,"['indoor', 'vehicle', 'vehicle', 'vehicle', 'vehicle', 'outdoor', 'outdoor', 'vehicle', 'vehicle', 'vehicle', 'vehicle', 'vehicle', 'outdoor', 'outdoor']","['clock', 'car', 'car', 'car', 'car', 'traffic light', 'traffic light', 'car', 'car', 'car', 'car', 'car', 'traffic light', 'traffic light']","[4524.7029, 3797.5362, 1099.7574999999997, 548.9840500000003, 199.63909999999987, 65.19604999999999, 59.28900000000003, 577.9533500000002, 868.8081000000009, 65.69414999999995, 57.179649999999874, 59.67240000000005, 34.10480000000003, 103.01054999999994]","['A picture of a Street during the nighttime.', 'A clock stands alongside a busy street at night.', 'A street scene with old clock on lamp pole.', 'A lighted street at night with cars traveling down the road.', 'A city street with a clock and street lights that are lit.']"
83632,83632.jpg,"['vehicle', 'vehicle', 'vehicle', 'vehicle', 'vehicle', 'vehicle']","['airplane', 'airplane', 'airplane', 'airplane', 'airplane', 'airplane']","[648.1494, 861.5991499999997, 884.9505499999981, 824.5963499999993, 741.1881499999989, 736.4619999999994]","['A group of planes flying in the sky letting out smoke', 'A bunch of planes flying close with trails of smoke.', 'There are several airplane in the air and they are leaving a trail.', 'Several  government jets are flying in formation.', 'Six airplanes flying in a formation in the sky ']"
83738,83738.jpg,"['indoor', 'kitchen', 'kitchen', 'kitchen', 'furniture', 'appliance', 'kitchen', 'kitchen', 'indoor', 'indoor']","['toothbrush', 'cup', 'cup', 'cup', 'toilet', 'sink', 'cup', 'cup', 'toothbrush', 'toothbrush']","[20.431600000000092, 257.6325999999997, 458.70630000000006, 224.14004999999986, 15851.615899999997, 6369.363549999999, 415.0792, 673.4892, 30.72185000000008, 57.61424999999998]","['A bathroom has a white brick wall and a two drawer cabinet and a toilet.', 'A bathroom with a toilet, sink and mirror.', 'White tiled bathroom with all white appliances and toilet.', 'Doorway view of bathroom with toilet and sink.', 'a bath room with a toilet a mirror and a sink']"
84174,84174.jpg,"['person', 'person', 'sports', 'sports', 'person']","['person', 'person', 'baseball bat', 'baseball glove', 'person']","[12013.3552, 11606.6695, 400.89240000000035, 661.2433500000006, 12958.35145]","['A baseball player swinging a bat while standing next to home plate.', 'Base ball player swings bat while catcher and umpire watch ', 'THIS IS A PICTURE OF A GROUP OF GUYS PLAYING BASEBALL', 'A man that is standing with a bat on the dirt.', 'A baseball player begins to run while holding the bat.']"
86811,86811.jpg,['animal'],['bird'],[16781.788549999987],"['A bird standing on some sea weed in the water.', 'A bird stands on the edge of the water.', 'There is a bird standing near the water.', 'A bird stands in the water, among a great deal of algae', 'a bird with skinny legs that are standing in some water']"
87126,87126.jpg,"['furniture', 'furniture', 'kitchen', 'kitchen', 'kitchen', 'kitchen', 'kitchen', 'appliance', 'kitchen', 'appliance', 'kitchen', 'electronic', 'kitchen', 'indoor']","['potted plant', 'potted plant', 'bottle', 'bottle', 'bottle', 'bottle', 'bottle', 'refrigerator', 'cup', 'sink', 'bottle', 'tv', 'bottle', 'vase']","[376.31689999999986, 282.4708999999997, 817.6309999999995, 172.27940000000012, 621.4180999999992, 571.8526999999992, 465.4470999999991, 22147.570000000003, 227.1309499999999, 220.17974999999973, 168.47080000000022, 2531.789450000004, 605.8819500000001, 74.13530000000009]","['A kitchen with cabinets that have glass doors', 'A modern kitchen features an island with glass panels, white cabinetry, a black refrigerator and a small window.', 'A modern kitchen with wood and white accents. ', 'Open kitchen with an island counter top, refrigerator, and sink. ', 'a kitchen with a refrigerator a sink and a cutting board']"
87146,87146.jpg,"['animal', 'animal', 'animal', 'animal']","['dog', 'horse', 'horse', 'horse']","[990.1160999999994, 4706.287550000001, 3909.7039999999965, 4579.91005]","['A couple of horses graze while a dog looks on', 'Brown and white ponies with a dog standing near them. ', 'a dog moving towards the horses at the mountains', 'Three ponies are grazing and a dog is barking at one.', 'Some very pretty horses in a big grassy field.']"
87334,87334.jpg,"['animal', 'furniture', 'furniture', 'electronic', 'electronic', 'kitchen', 'electronic']","['cat', 'couch', 'chair', 'cell phone', 'cell phone', 'cup', 'remote']","[2456.675300000001, 72276.45184999998, 25318.715999999997, 381.68794999999943, 593.3417499999988, 1210.8967000000005, 725.4865500000003]","['a living room with a couch a table and a chair', 'A green living room sofa and small coffee table', 'A couch with a cat on it next to a table and chair.', 'a cat sleeping on a blanket on the couch ', 'There is a messy living room area with some things thrown on the floor and coffee table']"
87871,87871.jpg,"['electronic', 'animal', 'person', 'kitchen', 'electronic', 'indoor', 'indoor', 'indoor', 'electronic']","['tv', 'cat', 'person', 'cup', 'keyboard', 'book', 'book', 'book', 'mouse']","[31883.253749999996, 31456.984099999998, 12737.723699999999, 4426.7550500000025, 40172.34689999999, 3209.081199999999, 2161.7779499999992, 2118.457550000001, 4872.0522999999985]","['A desktop computer keyboard sitting on top of a desk.', 'Black cat sitting in front of a keyboard on a cluttered desk. ', ""A cat sits on a person's lap in front of a messy desk."", 'A person sitting at a computer desk with a cat.', 'A person sitting at a desk with a cat in front of a keyboard.']"
88414,88414.jpg,['vehicle'],['train'],[117617.34415],"['A train sits in a station at an empty platform.', 'A passenger train on the tracks in a station.', 'a passenger train that is sitting at the train station. ', 'The train is standing in the subway station. ', 'A blue and yellow train going down the track']"
88835,88835.jpg,"['vehicle', 'vehicle', 'vehicle', 'vehicle', 'vehicle', 'vehicle', 'vehicle', 'vehicle', 'outdoor', 'outdoor', 'outdoor', 'outdoor', 'outdoor', 'outdoor', 'outdoor', 'outdoor', 'outdoor', 'vehicle', 'vehicle', 'outdoor']","['car', 'car', 'car', 'car', 'car', 'truck', 'truck', 'truck', 'traffic light', 'traffic light', 'traffic light', 'traffic light', 'traffic light', 'traffic light', 'traffic light', 'traffic light', 'traffic light', 'car', 'truck', 'traffic light']","[1386.2397000000003, 69.15009999999974, 9317.7503, 79.97995000000004, 146.78659999999985, 353.5037499999993, 160.33825, 230.3156500000001, 10.086550000000155, 10.526449999999949, 12.329700000000152, 19.572799999999972, 6.239600000000012, 5.335749999999992, 5.280200000000022, 1.772500000000016, 14.780200000000015, 59.375850000000234, 153.29924999999994, 7.975350000000008]","['Two cars driving under a street sign on a highway.', 'Cars are driving down a highway with Exit signs.', 'some cars a freeway and some green and white signs', 'Highway on the the ramp to the 92 west', 'Overhead street signs direct cars travelling down a busy highway.']"
89908,89908.jpg,"['appliance', 'kitchen', 'indoor', 'indoor', 'person', 'kitchen', 'kitchen']","['sink', 'cup', 'vase', 'hair drier', 'person', 'cup', 'bowl']","[12714.198200000003, 528.6451500000007, 415.01930000000084, 339.21680000000043, 3092.4563499999995, 778.5334000000003, 963.6385000000001]","['A bathroom with wall to wall mirror and sink ', 'The bathroom sink has mirrors around the walls of the counter. ', 'The sink and mirror of a hotel room', 'A public bathroom with mirrors, a telephone, a sink and a counter in it.', 'A bathroom sink and mirror with a phone on the wall.']"
90827,90827.jpg,['animal'],['dog'],[159091.18540000007],"['A close shut of a dog with its tongue out. ', 'The dog is riding in the car and wearing a leash.', 'A brown dog is sitting inside a car.', 'A big dog with a leash sits in the car.', 'A fuzzy brown dog is happy for a car ride.']"
90994,90994.jpg,"['animal', 'animal', 'animal', 'animal']","['sheep', 'cow', 'cow', 'sheep']","[1613.510849999999, 31397.429399999997, 19693.98525, 1220.4478499999996]","['Cows in a pastoral setting grazing in the grass.', 'Buff cows eating grass in a pasture with sheep.', 'Two cows and two sheep grazing in a pasture.', 'Two cows in the foreground grazing in the field while two sheep do the same in the background.', 'Two cows standing next to each other on a field.']"
91005,91005.jpg,['vehicle'],['motorcycle'],[37671.65365],"['Motorcycle sitting in front of a garage with old doors.', 'A motorcycle parked right in front of the doorway of a very old building.', 'A motorcycle is parked outside the entrance to an old building.', 'Motorcycle parked in front of closed garage door.', 'A motorcycle parked in front of an old building.']"
91784,91784.jpg,"['animal', 'animal']","['giraffe', 'giraffe']","[23274.110150000004, 17206.562249999995]","['Two giraffe stand in a field with tall grass and trees.', 'Two giraffes in a grassy field with trees in the background.', 'Two giraffes standing next to a tree in grass', 'Two giraffes stand in a grassy field in front of a tree.', 'Two giraffes in a field of high dry grass.']"
92001,92001.jpg,"['furniture', 'person', 'person', 'electronic', 'electronic', 'electronic', 'furniture']","['bed', 'person', 'person', 'remote', 'remote', 'remote', 'couch']","[25781.1902, 80212.04275000002, 45201.720550000005, 635.4832999999998, 184.4462000000002, 330.0440999999996, 11082.2915]","['Two adults in a rec room playing with Wii game controllers', 'Two women playing a video game with excitement.', ""two older lady's playing a game on the wii"", 'Two women enthusiastically compete in a video game.', 'A couple of women in a room with remotes.']"
92221,92221.jpg,"['kitchen', 'vehicle', 'vehicle', 'person', 'outdoor', 'vehicle', 'accessory', 'electronic']","['bottle', 'car', 'car', 'person', 'bench', 'car', 'handbag', 'cell phone']","[1070.3262000000009, 2392.385799999999, 3066.5516499999985, 45906.97595, 76165.15345000001, 4375.993350000001, 2904.5155499999964, 72.53970000000028]","['A woman sitting on a wooden bench talking on a phone.', 'A woman sitting on a wood bench outside a building', 'A woman with red hair is sitting on a bench.', 'a person sitting on a wooden bench talking on a phone', 'A person that is on her cell phone.']"
92288,92288.jpg,"['kitchen', 'kitchen', 'kitchen', 'kitchen', 'food', 'kitchen', 'food', 'food', 'furniture', 'kitchen', 'food']","['bottle', 'cup', 'fork', 'knife', 'carrot', 'knife', 'sandwich', 'carrot', 'dining table', 'cup', 'carrot']","[4213.097100000003, 9081.229500000003, 1868.7764499999994, 4852.235200000003, 805.6782000000003, 1012.6770499999998, 15713.055699999999, 391.1963499999999, 249824.36544999998, 983.4844999999998, 493.2806999999997]","['A food entree with a salad is served in a dish.', 'Sandwich and salad on dark plate with utensils on wooden table.', 'Two dinners on a wooden table with the check', 'A meal sits on a plate with utensils on a wooden table. ', 'A gourmet lunch served on a brown plate.']"
92353,92353.jpg,"['person', 'sports', 'animal']","['person', 'kite', 'dog']","[986.2392000000001, 367.7819000000004, 459.3365499999996]","['A person flying a kite high up in the sky.', 'A child flying a kite near water while standing with a dog.', 'A boy flying a kite with a dog during the day.', 'A little kid standing on a grass covered beach next to a dog.', 'A boy flying a kite in a field next to a dog and a lake.']"
95176,95176.jpg,"['person', 'sports']","['person', 'skis']","[28002.605150000007, 13592.78005]","['A person riding skis down a snow covered slope.', 'Person in ski boots, on skiis with two ski poles. ', 'Person cross country skiing on a groomed trail.', 'No one could lose bright ski boots like these in the snow.', 'A skier holding ski poles traveling in the snow.']"
95337,95337.jpg,"['kitchen', 'furniture', 'appliance']","['bottle', 'toilet', 'sink']","[471.69130000000047, 15648.972100000008, 1424.6411499999997]","['A white toilet sitting in a bathroom next to a sink.', 'a small white bathroom with brown rugs and a candle', 'The door is open to this bathroom that has a candle for decoration.', 'A white bathroom is shown with brown rugs.', 'A white sink and toilet in a small room.']"
95809,95809.jpg,"['person', 'person', 'person', 'sports', 'sports', 'accessory', 'accessory', 'sports']","['person', 'person', 'person', 'skis', 'skis', 'backpack', 'backpack', 'skis']","[9289.376299999998, 2748.4377999999992, 1093.9569000000004, 2193.4907500000027, 193.7241000000002, 996.2187500000003, 160.58494999999985, 37.64769999999992]","['A man and two others skiing across a snow covered field.', 'A group of skiers trekking through the snow on skis', 'A group of cross country skiiers travelling a snowy plain.', 'A group of people ski on a snowy slope.', 'Three people cross country skiing in a field.']"
95828,95828.jpg,"['electronic', 'furniture', 'electronic', 'electronic', 'electronic', 'electronic', 'electronic', 'electronic', 'electronic']","['tv', 'chair', 'laptop', 'mouse', 'mouse', 'keyboard', 'keyboard', 'keyboard', 'tv']","[6074.749849999999, 17314.847249999995, 2817.4284999999986, 80.99740000000004, 40.35804999999991, 1558.2958500000004, 826.7922500000004, 345.54719999999986, 3120.3939000000005]","['A computer desk topped with lots of computers.', 'a couple of monitors are on a wood desk', 'Three computer screens shine from the top of a desk.', 'A work space with wood floors and a window.', 'A bunch of computers that are sitting on a desk.']"
96161,96161.jpg,"['animal', 'animal', 'animal', 'animal', 'animal']","['giraffe', 'giraffe', 'giraffe', 'giraffe', 'giraffe']","[4706.833949999999, 9980.700250000004, 5875.9863000000005, 4398.0887, 5466.445449999997]","['A herd of giraffe at a zoo standing next to each other.', 'Five giraffes are eating food from a feeder in an enclosure.', 'A group of giraffes eating hay out of a feeder', 'A number of giraffes lounging around in a penned area.', 'A group of giraffes during feeding time at the zoo.']"
97201,97201.jpg,"['animal', 'animal', 'animal', 'animal', 'animal']","['bird', 'bird', 'bird', 'bird', 'bird']","[2328.3849499999988, 1129.5185999999999, 1147.8291500000005, 1396.9400999999996, 690.4795499999996]","['Some big birds are sitting on highest twigs of a tree.', 'five black and white birds are sitting on some branches', 'The group of birds is resting on the delicate branches.', 'a group of birds sitting pirched on a tree', 'Several birds sitting on thin tree branches on cloudy day.']"
97218,97218.jpg,"['electronic', 'furniture', 'furniture', 'furniture', 'furniture', 'furniture', 'electronic', 'accessory', 'accessory', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'furniture', 'furniture', 'electronic', 'furniture', 'furniture', 'furniture', 'furniture', 'furniture', 'furniture', 'furniture', 'furniture', 'furniture', 'furniture', 'furniture', 'furniture', 'person', 'furniture', 'furniture', 'furniture', 'furniture', 'furniture', 'electronic', 'furniture', 'furniture', 'furniture']","['tv', 'dining table', 'dining table', 'dining table', 'dining table', 'dining table', 'laptop', 'handbag', 'handbag', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'chair', 'dining table', 'tv', 'chair', 'chair', 'chair', 'chair', 'chair', 'chair', 'chair', 'chair', 'chair', 'chair', 'chair', 'chair', 'person', 'chair', 'dining table', 'dining table', 'dining table', 'dining table', 'tv', 'dining table', 'dining table', 'chair']","[552.4584000000006, 3025.061300000003, 5359.403450000001, 5366.338949999998, 11547.434450000004, 2708.8985500000013, 1918.65325, 12213.2038, 998.3990500000003, 29777.314250000003, 10560.0595, 2168.247499999999, 4609.043299999998, 4433.293399999999, 2274.0993499999995, 5362.667199999998, 1820.2240999999988, 5559.743799999999, 1565.949800000001, 472.2633000000001, 729.0172000000003, 8571.184949999997, 118.38100000000003, 393.0207000000005, 3165.8468500000017, 595.95325, 53.37300000000001, 82.53884999999997, 133.723, 246.36984999999945, 445.58499999999947, 712.2985000000003, 23.091800000000095, 314.96770000000004, 608.167599999999, 1251.878449999999, 301.7526499999998, 1347.6851999999985, 366.35529999999983, 848.1996500000007, 297.9521500000002, 455.19269999999995, 431.3971999999995, 2410.59235, 271, 38486]","['A diverse group of people seated around small white tables.', 'People sit at a cluster of white tables in a large room.', 'A group of people sitting in a busy cafe.', 'A group of people sitting at tables with paper and laptops.', 'A group of people are sitting around small tables.']"
98480,98480.jpg,"['kitchen', 'kitchen', 'kitchen', 'kitchen', 'appliance', 'appliance', 'kitchen', 'kitchen', 'kitchen', 'kitchen', 'kitchen', 'kitchen', 'kitchen']","['bottle', 'bottle', 'bowl', 'bowl', 'oven', 'sink', 'knife', 'knife', 'spoon', 'spoon', 'bottle', 'bottle', 'bottle']","[760.6300999999991, 183.66479999999993, 319.57404999999983, 212.5434000000002, 30251.827250000002, 657.919350000001, 47.32629999999994, 46.43575000000004, 93.12054999999994, 100.59985000000101, 232.69854999999967, 71.3408000000002, 77.96419999999989]","['white galley kitchen with messy counters and sunny window', 'Kitchen with modern appliances and white cabinets in home setting.', 'The kitchen has white cabinets and a window looking out. ', 'A view of  a kitchen in the middle of day.', 'A large galley kitchen with tile floors ']"
99363,99363.jpg,"['person', 'sports']","['person', 'skis']","[28011.126050000013, 794.7447999999998]","['A male skier with an Olympic number bib on and flags and a Vancouver 2010 sign in the background.', 'A man is competing in the 2010 Olympics skiing.', 'A man is snow boarding in winter Olympic.', 'A man on snow skis is pushing himself with ski poles.', 'A skier in a bright colored suit in the snow.']"
99580,99580.jpg,"['furniture', 'furniture', 'indoor', 'indoor', 'furniture', 'indoor', 'indoor', 'electronic', 'electronic', 'electronic', 'electronic', 'furniture', 'furniture']","['couch', 'chair', 'book', 'book', 'potted plant', 'book', 'book', 'remote', 'remote', 'remote', 'remote', 'potted plant', 'potted plant']","[47567.39940000001, 12829.79195, 108.27455000000053, 123.57820000000069, 933.9048999999997, 122.27440000000007, 8517.0333, 412.1616500000006, 198.2411000000003, 221.9026000000004, 296.52645, 249.54070000000036, 658.1038999999992]","['A couch and a table in a room.', 'A living room with sofa, table, and book shelf.', 'A white couch sits under a shelf lined with video games. ', 'The living room has bright green walls and a white sofa. ', 'White furniture in a lime green room with a window ']"
100396,100396.jpg,"['kitchen', 'kitchen', 'kitchen', 'kitchen', 'kitchen', 'kitchen', 'furniture', 'furniture', 'furniture', 'furniture', 'furniture', 'person', 'person', 'person', 'person', 'person', 'person', 'kitchen', 'kitchen', 'kitchen', 'kitchen', 'kitchen', 'kitchen', 'kitchen', 'kitchen', 'kitchen', 'kitchen', 'kitchen', 'kitchen', 'kitchen', 'furniture', 'furniture', 'furniture', 'indoor', 'person', 'person', 'indoor', 'indoor', 'indoor', 'indoor', 'kitchen', 'kitchen', 'furniture', 'furniture', 'person', 'kitchen', 'kitchen']","['bottle', 'bottle', 'bottle', 'bottle', 'bottle', 'bottle', 'chair', 'chair', 'chair', 'chair', 'dining table', 'person', 'person', 'person', 'person', 'person', 'person', 'bottle', 'wine glass', 'wine glass', 'wine glass', 'wine glass', 'wine glass', 'wine glass', 'wine glass', 'wine glass', 'wine glass', 'wine glass', 'wine glass', 'wine glass', 'chair', 'chair', 'chair', 'vase', 'person', 'person', 'vase', 'vase', 'vase', 'vase', 'bottle', 'bottle', 'chair', 'chair', 'person', 'wine glass', 'wine glass']","[146.6099999999998, 267.8200000000001, 191.56410000000042, 112.4757999999997, 159.4415999999991, 170.95614999999944, 25867.6238, 11009.522800000006, 25113.93875, 5280.2096, 27098.264799999997, 29001.005399999995, 10915.636050000001, 6248.333549999998, 18022.453750000004, 11600.6814, 2120.9096000000004, 307.39065000000005, 646.5496499999991, 842.8751000000002, 641.8036499999989, 890.6341500000003, 965.7601000000001, 582.7291500000007, 559.1057000000002, 346.8686499999999, 611.2310499999998, 327.02220000000017, 326.9864999999999, 211.95210000000037, 496.0812999999985, 100.0030500000002, 52.15344999999999, 1690.7842499999992, 2630.3753500000007, 1608.5293499999996, 33.585650000000186, 109.87745000000082, 98.3733, 303.57955000000004, 62.49095000000001, 128.08634999999984, 1120.7245, 555.6179000000001, 879.0762500000003, 273.7995000000005, 4608]","['A group of people that are sitting around a table.', 'A winery offers guests a cheery and relaxing atmosphere for wine tasting.', 'a number of people sitting at a table with many wine glasses', 'Nine people posing for a picture with a lot of wine glasses on the table.', 'A GROUP OF PEOPLE SITTING AT A BAR IN RED BAR STOOLS DRINKING ']"
100599,100599.jpg,"['animal', 'person', 'person', 'person']","['horse', 'person', 'person', 'person']","[29070.20805, 8135.256799999998, 2495.081400000001, 3652.78065]","['A brown horse pulling a family in a sled.', 'a horse pulling a wagon with a man and two children riding in it', 'this is a family riding a sled in the snow', 'A horse is pulling a sleigh with two kids on it.', 'A horse pulls a sleigh across the snow covered ground.']"
100863,100863.jpg,['appliance'],['sink'],[25271.182450000008],"['A bathroom sink sitting under a bathroom mirror.', 'a bathroom vanity with the sink sitting on top and a mirror', 'A bathroom with a white basin sink and a white cabinet and mirror. ', 'A white sink that is underneath a mirror.', 'A sink bowl stands under a mirror and light fixture, with a towel hanging nearby.']"
101069,101069.jpg,"['vehicle', 'outdoor', 'outdoor', 'person', 'person', 'person', 'outdoor']","['train', 'traffic light', 'traffic light', 'person', 'person', 'person', 'traffic light']","[72649.79215, 162.7403999999998, 267.62255000000016, 1327.7515, 432.11224999999996, 324.11445000000003, 595.592850000001]","['A red train traveling down train tracks through a rural countryside.', 'A train running on a railway track in front of a station.', 'A train is coming around a bend by grass and a building.', 'The front of train makes its way along the tracks.  ', 'a long train going down the tracks through a town']"
101952,101952.jpg,"['electronic', 'electronic', 'furniture', 'electronic', 'indoor', 'indoor', 'indoor', 'electronic', 'indoor', 'indoor', 'kitchen']","['laptop', 'mouse', 'chair', 'keyboard', 'book', 'book', 'book', 'tv', 'book', 'book', 'cup']","[15256.848949999996, 365.11995000000064, 2000.0644499999994, 1216.66205, 2603.6714500000007, 996.0179000000011, 747.48275, 3679.3680999999997, 122.72730000000013, 121.58209999999974, 1823.1921999999988]","['a room with a couple of computers inside of it ', 'A small cluttered office with a laptop propped up on books.', 'An office with binders on a book shelf.', 'This is someones office inside of their home.', 'a computer that is sitting inside of a room']"
103366,103366.jpg,"['person', 'sports']","['person', 'skis']","[14047.615750000003, 885.9379000000002]","['Man in jacket skiing down snow covered hill.', 'A man coming to a stop on a snowy hill with his skis.', 'A man skiing down a hill throwing up snow.', 'Man skiing on slight slope probably attempting to stop by turning sideways.', 'Man kicking up snow on his skis while on a snow trail. ']"
104044,104044.jpg,"['vehicle', 'person', 'person', 'person']","['airplane', 'person', 'person', 'person']","[89591.50769999999, 720.1130499999991, 328.10720000000015, 707.4600999999996]","['a large jet airplane parked on a runway with people surrounding it', 'The humongous airliner has a passenger loader attached to it.', 'Workers walking under a commercial airplane parked at the gate', 'There is a big jet from United Arab Emirates on the airport tarmac,', 'A group of people standing in front of a large airplane.']"
104081,104081.jpg,"['animal', 'animal', 'animal', 'animal', 'animal']","['cow', 'cow', 'cow', 'cow', 'cow']","[4455.0448499999975, 2623.1111999999994, 1479.884000000001, 723.7445999999998, 435.5967500000005]","['a number of cows in a field near trees', 'an image of herd of cows that are in the wildnerness', 'many cows left in a forest with very many trees', 'cows standing around in the woods doing nothing ', 'A group of cows standing in a forest.']"
104502,104502.jpg,"['furniture', 'appliance']","['toilet', 'sink']","[17117.048300000002, 6927.737400000002]","['A white bathroom with pedestal sink and small cabinet and daylight window', 'A white bathroom filled with a toilet and a sink.', 'A white bathroom has an interesting sink and high mirror.', 'A BATHROOM WITH A TOILET AND A WASHBASIN NEARBY.', 'An all white bathroom is shown during daylight hours. ']"
106107,106107.jpg,"['person', 'sports', 'sports']","['person', 'surfboard', 'surfboard']","[5703.481750000002, 819.4917500000005, 1627.6299499999993]","['A man riding a surfboard on a wave in the ocean.', 'A man in a wetsuit surfboarding on a wave. ', 'A man in a black wet suit surfing on a big wave', 'A surfer in a black wet suit riding a wave.', 'A man in  a wet suit surfing on a wave']"
107204,107204.jpg,"['accessory', 'person', 'vehicle']","['tie', 'person', 'car']","[2976.003099999998, 183355.97565, 17207.91095]","['A man wearing a tuxedo standing behind a microphone.', 'The man is smiling and wearing a suit.', 'a man in a tux standing next to a microphone ', 'A man wearing a suit and tie has a microphone near him.', 'A man in a black tuxedo smiling at someone holding a microphone.']"
110611,110611.jpg,"['animal', 'animal', 'animal']","['giraffe', 'giraffe', 'giraffe']","[2418.682600000001, 3163.4466999999986, 1308.1946000000005]","['there are giraffes, one is on the floor ', 'Two giraffes are standing near a fence and another giraffe sitting down.', 'Several giraffe in an enclosed area with a wooden wall and building area on one side.', 'Some very pretty giraffes in a big enclosure.', 'Three giraffes are surrounded by trees and rocks.']"
110780,110780.jpg,"['person', 'sports']","['person', 'surfboard']","[5609.849149999997, 5115.642199999999]","['A man riding a surfboard along a wave.', 'a surfer in a wet suit is surfing', 'Man on surfboard in water catching some waves.', 'Man on surfboard getting ready to ride a wave.', 'A surfer is riding a wave in the ocean on a boogie board.']"
112734,112734.jpg,['animal'],['elephant'],[104624.85420000003],"['Elephant walking on dirt path near forested area.', 'An old tusked elephant walking on a dirt road', 'a close up of an elephant walking on a path ', 'An elephant walking along a dirt path near trees.', 'An elephant with one intact tusk and one broken tusk, walking down a dirt road.']"
112805,112805.jpg,"['outdoor', 'outdoor', 'outdoor', 'outdoor', 'outdoor']","['bench', 'bench', 'bench', 'bench', 'bench']","[26502.027050000008, 5642.990399999999, 2104.3728499999997, 1020.9972500000005, 463.54615000000007]","['A row of different colored wood benches sitting next to each other.', 'A row of park benches in park next to trees.', 'A park with green, blue, white, yellow and red park benches.', 'A row of different colored benches in a park.', 'Several park benches are painted all different colors.']"
